Date,Province_Name,Latitude,Longitude,Temperature,Precipitation,Price
2022-11-02,Aceh,4.3685491,97.0253024,19.56,1.6,11000.0
2022-11-03,Aceh,4.3685491,97.0253024,20.07,17.91,11000.0
2022-11-04,Aceh,4.3685491,97.0253024,19.15,26.34,11050.0
2022-11-05,Aceh,4.3685491,97.0253024,19.37,13.62,11050.0
2022-11-06,Aceh,4.3685491,97.0253024,19.31,37.52,11050.0
2022-11-07,Aceh,4.3685491,97.0253024,18.78,17.17,11050.0
2022-11-08,Aceh,4.3685491,97.0253024,18.87,6.91,11050.0
2022-11-09,Aceh,4.3685491,97.0253024,19.85,0.64,11000.0
2022-11-10,Aceh,4.3685491,97.0253024,19.11,16.11,11000.0
2022-11-11,Aceh,4.3685491,97.0253024,18.59,17.73,10950.0
2022-11-12,Aceh,4.3685491,97.0253024,18.96,18.28,10950.0
2022-11-13,Aceh,4.3685491,97.0253024,19.35,27.8,10950.0
2022-11-14,Aceh,4.3685491,97.0253024,19.49,44.76,10950.0
2022-11-15,Aceh,4.3685491,97.0253024,19.27,11.29,10950.0
2022-11-16,Aceh,4.3685491,97.0253024,18.91,3.45,11000.0
2022-11-17,Aceh,4.3685491,97.0253024,18.07,0.74,11000.0
2022-11-18,Aceh,4.3685491,97.0253024,18.04,26.59,10950.0
2022-11-19,Aceh,4.3685491,97.0253024,18.09,7.07,10950.0
2022-11-20,Aceh,4.3685491,97.0253024,18.37,0.91,10950.0
2022-11-21,Aceh,4.3685491,97.0253024,19.46,7.93,11050.0
2022-11-22,Aceh,4.3685491,97.0253024,19.41,7.1,11050.0
2022-11-23,Aceh,4.3685491,97.0253024,17.72,4.76,11000.0
2022-11-24,Aceh,4.3685491,97.0253024,17.65,7.47,11000.0
2022-11-25,Aceh,4.3685491,97.0253024,17.38,5.94,11000.0
2022-11-26,Aceh,4.3685491,97.0253024,17.71,2.24,11000.0
2022-11-27,Aceh,4.3685491,97.0253024,18.82,0.0,11000.0
2022-11-28,Aceh,4.3685491,97.0253024,19.78,0.07,11000.0
2022-11-29,Aceh,4.3685491,97.0253024,20.0,1.57,11000.0
2022-11-30,Aceh,4.3685491,97.0253024,20.25,2.72,11100.0
2022-12-01,Aceh,4.3685491,97.0253024,19.59,6.18,11000.0
2022-12-02,Aceh,4.3685491,97.0253024,18.76,28.6,11000.0
2022-12-03,Aceh,4.3685491,97.0253024,19.06,10.54,11000.0
2022-12-04,Aceh,4.3685491,97.0253024,19.3,3.01,11000.0
2022-12-05,Aceh,4.3685491,97.0253024,19.06,22.1,11050.0
2022-12-06,Aceh,4.3685491,97.0253024,18.5,7.9,11050.0
2022-12-07,Aceh,4.3685491,97.0253024,18.96,19.91,11150.0
2022-12-08,Aceh,4.3685491,97.0253024,18.87,44.0,11150.0
2022-12-09,Aceh,4.3685491,97.0253024,17.62,9.88,11100.0
2022-12-10,Aceh,4.3685491,97.0253024,18.34,14.33,11100.0
2022-12-11,Aceh,4.3685491,97.0253024,17.95,21.99,11100.0
2022-12-12,Aceh,4.3685491,97.0253024,18.64,6.99,11150.0
2022-12-13,Aceh,4.3685491,97.0253024,18.9,49.57,11150.0
2022-12-14,Aceh,4.3685491,97.0253024,18.64,12.76,11200.0
2022-12-15,Aceh,4.3685491,97.0253024,19.51,3.27,11200.0
2022-12-16,Aceh,4.3685491,97.0253024,20.32,0.02,11200.0
2022-12-17,Aceh,4.3685491,97.0253024,19.74,62.11,11200.0
2022-12-18,Aceh,4.3685491,97.0253024,18.43,82.98,11200.0
2022-12-19,Aceh,4.3685491,97.0253024,19.53,25.66,11200.0
2022-12-20,Aceh,4.3685491,97.0253024,19.58,11.0,11200.0
2022-12-21,Aceh,4.3685491,97.0253024,18.99,2.5,11200.0
2022-12-22,Aceh,4.3685491,97.0253024,19.16,0.08,11200.0
2022-12-23,Aceh,4.3685491,97.0253024,20.08,0.0,11300.0
2022-12-26,Aceh,4.3685491,97.0253024,19.67,4.2,11300.0
2022-12-27,Aceh,4.3685491,97.0253024,20.16,5.27,11300.0
2022-12-28,Aceh,4.3685491,97.0253024,19.89,0.49,11300.0
2022-12-29,Aceh,4.3685491,97.0253024,19.72,3.87,11300.0
2022-12-30,Aceh,4.3685491,97.0253024,19.77,1.15,11300.0
2022-12-31,Aceh,4.3685491,97.0253024,19.52,0.0,11300.0
2023-01-01,Aceh,4.3685491,97.0253024,20.0,0.02,11300.0
2023-01-02,Aceh,4.3685491,97.0253024,19.73,0.11,11400.0
2023-01-03,Aceh,4.3685491,97.0253024,19.81,0.02,11450.0
2023-01-04,Aceh,4.3685491,97.0253024,19.31,0.1,11450.0
2023-01-05,Aceh,4.3685491,97.0253024,19.11,0.07,11450.0
2023-01-06,Aceh,4.3685491,97.0253024,19.08,33.7,11450.0
2023-01-07,Aceh,4.3685491,97.0253024,19.06,5.73,11450.0
2023-01-08,Aceh,4.3685491,97.0253024,19.33,0.81,11450.0
2023-01-09,Aceh,4.3685491,97.0253024,19.76,0.14,11500.0
2023-01-10,Aceh,4.3685491,97.0253024,19.54,0.06,11600.0
2023-01-11,Aceh,4.3685491,97.0253024,19.11,0.01,11600.0
2023-01-12,Aceh,4.3685491,97.0253024,19.77,0.12,11600.0
2023-01-13,Aceh,4.3685491,97.0253024,19.37,0.45,11600.0
2023-01-14,Aceh,4.3685491,97.0253024,19.69,1.5,11600.0
2023-01-15,Aceh,4.3685491,97.0253024,19.56,19.51,11600.0
2023-01-16,Aceh,4.3685491,97.0253024,19.4,4.87,11600.0
2023-01-17,Aceh,4.3685491,97.0253024,16.7,0.19,11600.0
2023-01-18,Aceh,4.3685491,97.0253024,18.08,0.07,11600.0
2023-01-19,Aceh,4.3685491,97.0253024,19.63,0.15,11600.0
2023-01-20,Aceh,4.3685491,97.0253024,19.29,29.11,11600.0
2023-01-21,Aceh,4.3685491,97.0253024,18.81,90.14,11600.0
2023-01-22,Aceh,4.3685491,97.0253024,18.55,28.37,11600.0
2023-01-23,Aceh,4.3685491,97.0253024,18.63,49.15,11600.0
2023-01-24,Aceh,4.3685491,97.0253024,18.02,7.02,11700.0
2023-01-25,Aceh,4.3685491,97.0253024,19.51,4.22,11800.0
2023-01-26,Aceh,4.3685491,97.0253024,19.65,6.87,11800.0
2023-01-27,Aceh,4.3685491,97.0253024,18.89,5.22,11800.0
2023-01-28,Aceh,4.3685491,97.0253024,18.86,1.9,11800.0
2023-01-29,Aceh,4.3685491,97.0253024,19.53,0.78,11800.0
2023-01-30,Aceh,4.3685491,97.0253024,19.21,0.56,11850.0
2023-01-31,Aceh,4.3685491,97.0253024,18.44,8.1,11850.0
2023-02-01,Aceh,4.3685491,97.0253024,18.48,1.31,11850.0
2023-02-02,Aceh,4.3685491,97.0253024,19.65,0.0,12050.0
2023-02-03,Aceh,4.3685491,97.0253024,19.74,15.26,12050.0
2023-02-04,Aceh,4.3685491,97.0253024,20.36,2.8,12050.0
2023-02-05,Aceh,4.3685491,97.0253024,19.99,1.19,12050.0
2023-02-06,Aceh,4.3685491,97.0253024,19.23,0.56,12050.0
2023-02-07,Aceh,4.3685491,97.0253024,19.75,0.14,12050.0
2023-02-08,Aceh,4.3685491,97.0253024,19.72,1.09,12050.0
2023-02-09,Aceh,4.3685491,97.0253024,20.55,2.59,12100.0
2023-02-10,Aceh,4.3685491,97.0253024,19.47,36.85,12100.0
2023-02-11,Aceh,4.3685491,97.0253024,19.19,0.84,12100.0
2023-02-12,Aceh,4.3685491,97.0253024,20.28,0.1,12100.0
2023-02-13,Aceh,4.3685491,97.0253024,20.13,0.14,12100.0
2023-02-14,Aceh,4.3685491,97.0253024,20.09,3.51,12100.0
2023-02-15,Aceh,4.3685491,97.0253024,19.32,0.4,12100.0
2023-02-16,Aceh,4.3685491,97.0253024,19.59,8.67,12100.0
2023-02-17,Aceh,4.3685491,97.0253024,20.04,4.35,12100.0
2023-02-20,Aceh,4.3685491,97.0253024,19.75,0.86,12000.0
